provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,hospital_overall_rating_footnote,mortality_national_comparison,mortality_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,readmission_national_comparison,readmission_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,location
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,BRONX,(718) 579-5000,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.924072 40.817681)
330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,MONROE,(585) 922-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-77.584424 43.192542)
330221,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM STREET,BROOKLYN,NY,11237,KINGS,(718) 963-7272,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.917648 40.704699)
330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,QUEENS,(718) 883-3000,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.803431 40.71698)
330009,BRONX HEALTH SYSTEM,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,Acute Care Hospitals,Proprietary,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.903756 40.83175000000001)
330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,(516) 705-2525,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.633236 40.688191)
330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-76.137853 43.041666)
330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,SCHENECTADY,(518) 243-4000,Acute Care Hospitals,Voluntary non-profit - Private,True,False,1,0.0,Below the national average,0.0,Below the national average,0.0,Above the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.918883 42.819818)
330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10310,RICHMOND,(718) 818-1234,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-74.106693 40.63551)
330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 798-6000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,0
330240,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NEW YORK,(212) 939-1000,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,16.0,POINT (-73.940495 40.814482)
330350,SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,445 LENOX ROAD,BROOKLYN,NY,11203,KINGS,(718) 270-1000,Acute Care Hospitals,Government - State,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.94516 40.654457)
330235,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,(315) 255-7011,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-76.564607 42.940761)
330394,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,(607) 763-6000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-75.914166 42.088097)
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,RICHMOND,(418) 226-9761,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-74.087013 40.584082)
330233,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,(718) 240-5966,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.91275 40.6545)
330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,(718) 262-6000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.816302 40.701412)
330204,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NEW YORK,(212) 562-4141,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.97625 40.740079)
330196,NYC HEALTH + HOSPITALS/CONEY ISLAND,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,KINGS,(718) 616-3000,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.966285 40.58494)
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.554413 40.725298)
